pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.95	40405	29720306	735.56
9.60	7.66	40773	30112076	738.53
9.30	7.37	41601	30746895	739.09
9.00	7.07	41967	31178031	742.92
8.70	6.78	43022	31968779	743.08
8.40	6.49	43431	32432406	746.76
8.10	6.20	44347	33172607	748.02
7.80	5.90	44744	33661511	752.31
7.50	5.62	46084	34662489	752.16
7.20	5.32	46516	35208740	756.92
6.90	5.03	47629	36116041	758.28
6.60	4.74	48120	36702795	762.73
6.30	4.46	49806	37993214	762.82
6.00	4.16	50346	38659028	767.87
5.70	3.88	51742	39828824	769.76
5.40	3.58	52313	40565234	775.43
5.10	3.30	54621	42332587	775.02
4.80	3.01	55290	43177956	780.94
4.50	2.73	57032	44711351	783.97
4.20	2.45	60444	47208172	781.02
3.90	2.16	61295	48336681	788.59
3.60	1.88	63726	50424007	791.26
3.30	1.62	69263	54292756	783.86
3.00	1.33	70549	55891331	792.23
2.70	1.06	74198	59051324	795.86
2.40	0.82	84801	66071109	779.13
2.10	0.55	90745	70909702	781.42
1.80	0.26	92997	73797377	793.55
1.50	0.05	115931	88578444	764.06
1.20	0.00	127010	97793519	769.97
0.90	0.00	192027	139832118	728.19
0.60	0.00	300982	214050907	711.18
0.30	0.00	536444	404276887	753.62
